episode_cluster_bootstrap_ci,lag,metric,pair_count,quantity,scale,value
"[0.5939785695852795, 0.6517379426482721]",4,rotation,,normalized_rms_difference,ACT,0.622140205679944
"[0.4850941828599013, 0.5195232990146648]",4,gripper,,normalized_rms_difference,ACT,0.5019138478788497
"[0.5516428108091416, 0.6071149700514643]",4,arm,,normalized_rms_difference,ACT,0.578685117689303
"[0.5699981411115465, 0.6654004906396052]",4,dim_0,,normalized_rms_difference,SmolVLA,0.6173320132199748
"[0.36457219166375915, 0.38689690079850436]",4,dim_1,,normalized_rms_difference,SmolVLA,0.3753682613947438
"[0.5379026302003274, 0.6051447132184704]",4,dim_2,,normalized_rms_difference,SmolVLA,0.57103707395519
"[0.6468631916084147, 0.7237419280057941]",4,dim_3,,normalized_rms_difference,SmolVLA,0.6843779167812889
"[0.7120619205135587, 0.797259663470946]",4,dim_4,,normalized_rms_difference,SmolVLA,0.7537361954023752
"[0.33393094505463394, 0.37154011840213286]",4,dim_5,,normalized_rms_difference,SmolVLA,0.3531061049216016
"[0.4850941828599013, 0.5195232990146648]",4,dim_6,,normalized_rms_difference,SmolVLA,0.5019138478788489
"[0.5017214336893934, 0.5627818131043777]",4,translation,,normalized_rms_difference,SmolVLA,0.5316902249869577
"[0.5939785695852795, 0.6517379426482721]",4,rotation,,normalized_rms_difference,SmolVLA,0.622140205679944
"[0.4850941828599013, 0.5195232990146648]",4,gripper,,normalized_rms_difference,SmolVLA,0.5019138478788497
"[0.5516428108091416, 0.6071149700514643]",4,arm,,normalized_rms_difference,SmolVLA,0.578685117689303
"[0.05868412461993343, 0.0673098395762422]",4,gripper,24099,gripper_sign_disagreement,raw_sign,0.062824183576082
"[0.7445247684897738, 0.7799851567558633]",5,dim_0,23926,autocorrelation,raw,0.7623274731218967
"[0.865344506866532, 0.882510489157872]",5,dim_1,23926,autocorrelation,raw,0.8745718663694626
"[0.7767168252780525, 0.8026044844449053]",5,dim_2,23926,autocorrelation,raw,0.7898949384492333
"[0.7022014639815906, 0.7618088674024796]",5,dim_3,23926,autocorrelation,raw,0.7351727467744229
"[0.7369717850722266, 0.7730424526021952]",5,dim_4,23926,autocorrelation,raw,0.756565289244713
"[0.860975169110171, 0.8930811505753382]",5,dim_5,23926,autocorrelation,raw,0.8793385232429645
"[0.8307102146051322, 0.8516512240884591]",5,dim_6,23926,autocorrelation,raw,0.8416841334240478
"[0.6814694229265701, 0.7929603849255622]",5,dim_0,,normalized_rms_difference,ACT,0.7362787071307276
"[0.432213649612443, 0.4582343653860595]",5,dim_1,,normalized_rms_difference,ACT,0.44486257846441785
"[0.6532713221417629, 0.7334826124704298]",5,dim_2,,normalized_rms_difference,ACT,0.6921404426288291
"[0.7518226395189125, 0.8415393115636203]",5,dim_3,,normalized_rms_difference,ACT,0.7957435183400396
"[0.8298010379722911, 0.9287366192212727]",5,dim_4,,normalized_rms_difference,ACT,0.8783353117293177
"[0.3960893732414879, 0.440609373250033]",5,dim_5,,normalized_rms_difference,ACT,0.41890521575905376
"[0.5439465838034834, 0.5824722499556457]",5,dim_6,,normalized_rms_difference,ACT,0.5628097393585008
"[0.6029364261846216, 0.6739783980079296]",5,translation,,normalized_rms_difference,ACT,0.6374604407633302
"[0.6932873512677772, 0.7594222790837707]",5,rotation,,normalized_rms_difference,ACT,0.725755295445364
"[0.5439465838034835, 0.5824722499556456]",5,gripper,,normalized_rms_difference,ACT,0.5628097393585012
"[0.6523686658484724, 0.7158360753559784]",5,arm,,normalized_rms_difference,ACT,0.6830360760622994
"[0.6814694229265701, 0.7929603849255622]",5,dim_0,,normalized_rms_difference,SmolVLA,0.7362787071307276
"[0.432213649612443, 0.4582343653860595]",5,dim_1,,normalized_rms_difference,SmolVLA,0.44486257846441785
"[0.6532713221417629, 0.7334826124704298]",5,dim_2,,normalized_rms_difference,SmolVLA,0.6921404426288291
"[0.7518226395189125, 0.8415393115636203]",5,dim_3,,normalized_rms_difference,SmolVLA,0.7957435183400396
"[0.8298010379722911, 0.9287366192212727]",5,dim_4,,normalized_rms_difference,SmolVLA,0.8783353117293177
"[0.3960893732414879, 0.440609373250033]",5,dim_5,,normalized_rms_difference,SmolVLA,0.41890521575905376
"[0.5439465838034834, 0.5824722499556457]",5,dim_6,,normalized_rms_difference,SmolVLA,0.5628097393585008
"[0.6029364261846216, 0.6739783980079296]",5,translation,,normalized_rms_difference,SmolVLA,0.6374604407633302
"[0.6932873512677772, 0.7594222790837707]",5,rotation,,normalized_rms_difference,SmolVLA,0.725755295445364
"[0.5439465838034835, 0.5824722499556456]",5,gripper,,normalized_rms_difference,SmolVLA,0.5628097393585012
"[0.6523686658484724, 0.7158360753559784]",5,arm,,normalized_rms_difference,SmolVLA,0.6830360760622994
"[0.07378719556669047, 0.08460947037015294]",5,gripper,23926,gripper_sign_disagreement,raw_sign,0.07899356348741954
"[0.6655603227572781, 0.7107435746872989]",6,dim_0,23753,autocorrelation,raw,0.6881657008411841
"[0.8256286990386069, 0.8464538279442299]",6,dim_1,23753,autocorrelation,raw,0.8368114960494905
"[0.699776621527489, 0.7333133269147654]",6,dim_2,23753,autocorrelation,raw,0.7169052466556596
"[0.6266577145869939, 0.6983639332134272]",6,dim_3,23753,autocorrelation,raw,0.6662185551938533
"[0.665777466696739, 0.7113773592399862]",6,dim_4,23753,autocorrelation,raw,0.6902874180285578
"[0.8197717295634142, 0.8603117741307338]",6,dim_5,23753,autocorrelation,raw,0.8429837175195151
"[0.7959723198505793, 0.8212612156456432]",6,dim_6,23753,autocorrelation,raw,0.8092514931914747
"[0.7818098627310941, 0.9082976091464227]",6,dim_0,,normalized_rms_difference,ACT,0.8436041917468001
"[0.49315776558306884, 0.5222420238244186]",6,dim_1,,normalized_rms_difference,ACT,0.5076357464240823
"[0.7602363972303078, 0.8521148181406544]",6,dim_2,,normalized_rms_difference,ACT,0.8050651078085646
"[0.844829022924608, 0.9447926240249164]",6,dim_3,,normalized_rms_difference,ACT,0.894073295356982
"[0.9330301885088707, 1.0466512770843621]",6,dim_4,,normalized_rms_difference,ACT,0.9879685920786759
"[0.45258076314832696, 0.5041297444171818]",6,dim_5,,normalized_rms_difference,ACT,0.47883446566951826
"[0.5973429775836573, 0.6395179687036247]",6,dim_6,,normalized_rms_difference,ACT,0.6179492611049611
"[0.6954020861084569, 0.7759253969739219]",6,translation,,normalized_rms_difference,ACT,0.7342778563984078
"[0.7809950687926884, 0.856238904446074]",6,rotation,,normalized_rms_difference,ACT,0.8174618119352586
"[0.5973429775836573, 0.6395179687036247]",6,gripper,,normalized_rms_difference,ACT,0.6179492611049614
"[0.742216107984508, 0.8142061720065786]",6,arm,,normalized_rms_difference,ACT,0.7769838429367489
"[0.7818098627310941, 0.9082976091464227]",6,dim_0,,normalized_rms_difference,SmolVLA,0.8436041917468001
"[0.49315776558306884, 0.5222420238244186]",6,dim_1,,normalized_rms_difference,SmolVLA,0.5076357464240823
"[0.7602363972303078, 0.8521148181406544]",6,dim_2,,normalized_rms_difference,SmolVLA,0.8050651078085646
"[0.844829022924608, 0.9447926240249164]",6,dim_3,,normalized_rms_difference,SmolVLA,0.894073295356982
"[0.9330301885088707, 1.0466512770843621]",6,dim_4,,normalized_rms_difference,SmolVLA,0.9879685920786759
"[0.45258076314832696, 0.5041297444171818]",6,dim_5,,normalized_rms_difference,SmolVLA,0.47883446566951826
"[0.5973429775836573, 0.6395179687036247]",6,dim_6,,normalized_rms_difference,SmolVLA,0.6179492611049611
"[0.6954020861084569, 0.7759253969739219]",6,translation,,normalized_rms_difference,SmolVLA,0.7342778563984078
"[0.7809950687926884, 0.856238904446074]",6,rotation,,normalized_rms_difference,SmolVLA,0.8174618119352586
"[0.5973429775836573, 0.6395179687036247]",6,gripper,,normalized_rms_difference,SmolVLA,0.6179492611049614
"[0.742216107984508, 0.8142061720065786]",6,arm,,normalized_rms_difference,SmolVLA,0.7769838429367489
"[0.0889848396529436, 0.10199385344301364]",6,gripper,23753,gripper_sign_disagreement,raw_sign,0.09523007620090095
"[0.5844504643042113, 0.6395335652914167]",7,dim_0,23580,autocorrelation,raw,0.6118828716940391
"[0.7845856325491991, 0.8091566095537311]",7,dim_1,23580,autocorrelation,raw,0.7975649280580516
"[0.6183463475738398, 0.6598311257701943]",7,dim_2,23580,autocorrelation,raw,0.6394361248509525
"[0.5525097303025274, 0.6357125319048031]",7,dim_3,23580,autocorrelation,raw,0.5981174183567292
"[0.5938926680972244, 0.6487444212022547]",7,dim_4,23580,autocorrelation,raw,0.623676356287912
"[0.7780710425310998, 0.8263583733272143]",7,dim_5,23580,autocorrelation,raw,0.8057594816993917
"[0.7608081355865167, 0.7905016632734658]",7,dim_6,23580,autocorrelation,raw,0.7765295154414266
"[0.8720442915758386, 1.0133586969375161]",7,dim_0,,normalized_rms_difference,ACT,0.9407800820488572
"[0.5496036481166348, 0.5816134407989103]",7,dim_1,,normalized_rms_difference,ACT,0.5654294087586359
"[0.8602621721452608, 0.9640404626539713]",7,dim_2,,normalized_rms_difference,ACT,0.910487105016986
"[0.9257253241983245, 1.038821568608774]",7,dim_3,,normalized_rms_difference,ACT,0.9819667369143187
"[1.0246648298033718, 1.1490344132938244]",7,dim_4,,normalized_rms_difference,ACT,1.0855793292774403
"[0.5040054008724381, 0.562231546441704]",7,dim_5,,normalized_rms_difference,ACT,0.5336009641385485
"[0.6469641990825591, 0.6924758013879118]",7,dim_6,,normalized_rms_difference,ACT,0.6690164453349783
"[0.7801259311883484, 0.8697741929657112]",7,translation,,normalized_rms_difference,ACT,0.823359853986742
"[0.8597678709404925, 0.9406362774728252]",7,rotation,,normalized_rms_difference,ACT,0.8995315709653555
"[0.646964199082559, 0.6924758013879118]",7,gripper,,normalized_rms_difference,ACT,0.6690164453349788
"[0.8245689670116685, 0.9024632121379498]",7,arm,,normalized_rms_difference,ACT,0.8622872190634828
"[0.8720442915758386, 1.0133586969375161]",7,dim_0,,normalized_rms_difference,SmolVLA,0.9407800820488572
"[0.5496036481166348, 0.5816134407989103]",7,dim_1,,normalized_rms_difference,SmolVLA,0.5654294087586359
"[0.8602621721452608, 0.9640404626539713]",7,dim_2,,normalized_rms_difference,SmolVLA,0.910487105016986
"[0.9257253241983245, 1.038821568608774]",7,dim_3,,normalized_rms_difference,SmolVLA,0.9819667369143187
"[1.0246648298033718, 1.1490344132938244]",7,dim_4,,normalized_rms_difference,SmolVLA,1.0855793292774403
"[0.5040054008724381, 0.562231546441704]",7,dim_5,,normalized_rms_difference,SmolVLA,0.5336009641385485
"[0.6469641990825591, 0.6924758013879118]",7,dim_6,,normalized_rms_difference,SmolVLA,0.6690164453349783
"[0.7801259311883484, 0.8697741929657112]",7,translation,,normalized_rms_difference,SmolVLA,0.823359853986742
"[0.8597678709404925, 0.9406362774728252]",7,rotation,,normalized_rms_difference,SmolVLA,0.8995315709653555
"[0.646964199082559, 0.6924758013879118]",7,gripper,,normalized_rms_difference,SmolVLA,0.6690164453349788
"[0.8245689670116685, 0.9024632121379498]",7,arm,,normalized_rms_difference,SmolVLA,0.8622872190634828
"[0.10438281266526787, 0.11958527329713205]",7,gripper,23580,gripper_sign_disagreement,raw_sign,0.11162001696352841
"[0.5034953028167086, 0.5667597999773502]",8,dim_0,23407,autocorrelation,raw,0.5349876801739091
"[0.742156668852554, 0.7701782463769156]",8,dim_1,23407,autocorrelation,raw,0.7570597148975439
"[0.5344254683448162, 0.5838139117381143]",8,dim_2,23407,autocorrelation,raw,0.5594842535888247
"[0.4810253875664878, 0.5739596021681278]",8,dim_3,23407,autocorrelation,raw,0.5313526484056181
"[0.5231263034618592, 0.5879498386325688]",8,dim_4,23407,autocorrelation,raw,0.5578059306650945
"[0.7362375369059883, 0.7919316152999668]",8,dim_5,23407,autocorrelation,raw,0.768265221788703
"[0.7256462922050452, 0.7603916159115898]",8,dim_6,23407,autocorrelation,raw,0.74401509560212
"[0.9539141794823245, 1.1067275317466678]",8,dim_0,,normalized_rms_difference,ACT,1.0288035753198848
"[0.6017710900693855, 0.6371651889287722]",8,dim_1,,normalized_rms_difference,ACT,0.6193222982287442
"[0.9541206717674108, 1.0669559394068384]",8,dim_2,,normalized_rms_difference,ACT,1.0085459875332479
"[1.002222281335347, 1.1218850670206877]",8,dim_3,,normalized_rms_difference,ACT,1.0614970173682154
"[1.1064168938615597, 1.2418319404441627]",8,dim_4,,normalized_rms_difference,ACT,1.1724648582354853
"[0.5511874872470411, 0.6152569566761519]",8,dim_5,,normalized_rms_difference,ACT,0.5838922248998837
"[0.6920261518631324, 0.7416482802201896]",8,dim_6,,normalized_rms_difference,ACT,0.7161743652151467
"[0.8589405301602695, 0.9552799226494715]",8,translation,,normalized_rms_difference,ACT,0.9053842489322285
"[0.9308984648238681, 1.0174341378382088]",8,rotation,,normalized_rms_difference,ACT,0.973375551363623
"[0.6920261518631324, 0.7416482802201896]",8,gripper,,normalized_rms_difference,ACT,0.7161743652151479
"[0.8993315940480368, 0.9830932677107597]",8,arm,,normalized_rms_difference,ACT,0.9399948409983462
"[0.9539141794823245, 1.1067275317466678]",8,dim_0,,normalized_rms_difference,SmolVLA,1.0288035753198848
"[0.6017710900693855, 0.6371651889287722]",8,dim_1,,normalized_rms_difference,SmolVLA,0.6193222982287442
"[0.9541206717674108, 1.0669559394068384]",8,dim_2,,normalized_rms_difference,SmolVLA,1.0085459875332479
"[1.002222281335347, 1.1218850670206877]",8,dim_3,,normalized_rms_difference,SmolVLA,1.0614970173682154
"[1.1064168938615597, 1.2418319404441627]",8,dim_4,,normalized_rms_difference,SmolVLA,1.1724648582354853
"[0.5511874872470411, 0.6152569566761519]",8,dim_5,,normalized_rms_difference,SmolVLA,0.5838922248998837
