task_key,split,group,delay_steps,valid_target_count,valid_episodes,utility,utility_sd_across_episodes,revision_or_abs_diff,revision_or_abs_diff_sd_across_episodes,translation_revision,rotation_revision,gripper_sign_disagreement
libero_spatial:task4,held_out,arm,4,1585,10,0.6333555400371551,0.015173186585298875,0.36664447784423826,0.01517315483042462,0.4058909982442856,0.8538705766201019,0.05646742796525359
libero_spatial:task4,held_out,arm,8,1545,10,0.6344369053840637,0.014859891962055708,0.36556308567523954,0.014859908335204603,0.4124533385038376,0.8417246401309967,0.06244555311277509
libero_spatial:task4,held_out,arm,16,1465,10,0.6288417637348175,0.018667299443015917,0.371158242225647,0.018667301650403742,0.4276043802499771,0.8562788724899292,0.0745998227968812
libero_spatial:task4,held_out,arm,20,1425,10,0.6209461152553558,0.020741087054786896,0.3790538787841797,0.020741104975413233,0.43962763249874115,0.8880764245986938,0.07420910019427537
libero_spatial:task4,held_out,arm,32,1305,10,0.6108424544334412,0.014644285242048255,0.38915755450725553,0.014644259857583096,0.4568019449710846,0.93212029337883,0.0955214612185955
libero_spatial:task4,held_out,gripper,0,1625,10,1.0,0.0,0.0,0.0,,,0.0
libero_spatial:task4,held_out,gripper,4,1585,10,0.9385229885578156,0.04271331527904642,0.12333735451102257,0.08555055721871617,,,0.05646742796525359
libero_spatial:task4,held_out,gripper,8,1545,10,0.9321514725685119,0.0600776570666916,0.13595999255776406,0.12030790644895693,,,0.06244555311277509
libero_spatial:task4,held_out,gripper,16,1465,10,0.9200574338436127,0.06891483792517059,0.16019781231880187,0.13802306740909875,,,0.0745998227968812
libero_spatial:task4,held_out,gripper,20,1425,10,0.9210401177406311,0.0776885391270648,0.15818697772920132,0.1554793471304463,,,0.07420910019427537
libero_spatial:task4,held_out,gripper,32,1305,10,0.9006006181240082,0.08719277500524095,0.19917232394218445,0.17439387849374935,,,0.0955214612185955
libero_goal:task2,development,arm,0,1212,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
libero_goal:task2,development,arm,4,1172,10,0.6348571360111237,0.01284062709940906,0.36514285802841184,0.012840621688582736,0.3816768884658813,0.8710992455482482,0.04936249097809196
libero_goal:task2,development,arm,8,1132,10,0.6240323126316071,0.01605680286572428,0.3759676873683929,0.01605680132170448,0.4060520112514496,0.9183846890926362,0.048293980117887256
libero_goal:task2,development,arm,16,1052,10,0.6138168334960937,0.021029319898286606,0.38618316054344176,0.021029335433732897,0.4314849227666855,0.958641529083252,0.07238084618002176
libero_goal:task2,development,arm,20,1012,10,0.6152204275131226,0.024681227887719016,0.384779566526413,0.024681226688764962,0.4546929568052292,0.9389295458793641,0.09603805579245091
libero_goal:task2,development,arm,32,892,10,0.582684463262558,0.03654317598235567,0.4173155099153519,0.0365431584301178,0.5317760109901428,1.0773074686527253,0.15313581563532352
libero_goal:task2,development,gripper,0,1212,10,1.0,0.0,0.0,0.0,,,0.0
libero_goal:task2,development,gripper,4,1172,10,0.9443050920963287,0.02539383607551903,0.1124257393181324,0.051320420695909454,,,0.04936249097809196
libero_goal:task2,development,gripper,8,1132,10,0.9447483539581298,0.030886352511275382,0.11121768113225698,0.062178492591400514,,,0.048293980117887256
libero_goal:task2,development,gripper,16,1052,10,0.9210070848464966,0.026665832111923003,0.15891976580023764,0.053637105876074294,,,0.07238084618002176
libero_goal:task2,development,gripper,20,1012,10,0.8972667694091797,0.03697623447674663,0.20666989237070083,0.07413368446965055,,,0.09603805579245091
libero_goal:task2,development,gripper,32,892,10,0.8419084012508392,0.057705327534172186,0.31780924201011657,0.11616225253535162,,,0.15313581563532352
libero_goal:task5,held_out,arm,0,1592,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
