model,seed,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
empirical_group_offset_prior_train_only,train_only,2,670,631,39,0.9417910447761194,0.7654516640253566,0.9823271284253491,0.05143357304355249,0.0009165830338204728,False,,0.05143357304355249,0.0
empirical_group_offset_prior_train_only,train_only,3,664,611,53,0.9201807228915663,0.7614334681777476,0.9723638151688333,0.06756963163777621,0.003829918944150301,False,,0.06756963163777621,0.0
empirical_group_offset_prior_train_only,train_only,4,660,601,59,0.9106060606060606,0.7652359062579317,0.9701582888563212,0.07396341138387637,0.003707199253079996,False,,0.07396341138387637,0.0
empirical_group_offset_prior_train_only,train_only,5,660,593,67,0.8984848484848484,0.7616344919584204,0.9663398256634433,0.08221218546861095,0.007875626000836298,False,,0.08221218546861095,0.0
empirical_group_offset_prior_train_only,train_only,6,658,581,77,0.8829787234042553,0.7537161633547176,0.9594616716649433,0.09249116610700348,0.009272726712052093,False,,0.09249116610700348,0.0
empirical_group_offset_prior_train_only,train_only,7,656,574,82,0.875,0.7508710801393729,0.9539891191333991,0.09771934490594321,0.015156675749318671,False,,0.09771934490594321,0.0
empirical_group_offset_prior_train_only,train_only,8,650,564,86,0.8676923076923077,0.7412172191984167,0.941037556688479,0.1034447791798012,0.024659099886761626,False,,0.1034447791798012,0.0
empirical_group_offset_prior_train_only,train_only,9,650,550,100,0.8461538461538461,0.7127272727272728,0.922925974753146,0.11888577654447553,0.02269006157017156,False,,0.11888577654447553,0.0
empirical_group_offset_prior_train_only,train_only,10,648,535,113,0.8256172839506173,0.6902572161111571,0.8966304627781481,0.13272718288788818,0.02497441310049248,False,,0.13272718288788818,0.0
empirical_group_offset_prior_train_only,train_only,11,644,524,120,0.8136645962732919,0.6741094147582697,0.8732216365606708,0.14156975501489297,0.031610354699591836,False,,0.14156975501489297,0.0
empirical_group_offset_prior_train_only,train_only,12,642,516,126,0.8037383177570093,0.6629291251384275,0.8623180291075295,0.148819001092084,0.03783218062004867,False,,0.148819001092084,0.0
empirical_group_offset_prior_train_only,train_only,13,636,490,146,0.7704402515723271,0.6466871680178921,0.830294237592979,0.16762267561403082,0.03878333278260582,False,,0.16762267561403082,0.0
