phase,strategy,name,arm_horizon,gripper_horizon,episodes,successes,macro_success_rate,macro_success_ci95_low,macro_success_ci95_high,pooled_success_rate,macro_query_rate,difference_vs_selected,difference_vs_selected_ci95_low,difference_vs_selected_ci95_high,statistically_tied_with_selected_descriptive,task_0_success_rate,task_1_success_rate,task_2_success_rate,task_3_success_rate,task_4_success_rate,task_5_success_rate,task_6_success_rate,task_7_success_rate,task_8_success_rate,task_9_success_rate
early,group,phase_early_group_arm2_grip1,2,1,230,164,0.688,0.5900000000000001,0.786,0.7130434782608696,0.6232740455009775,-0.046000000000000006,-0.11000000000000001,0.009999999999999998,True,0.88,0.7,0.75,0.8,0.55,0.7,0.6,0.55,0.4,0.95
early,group,phase_early_group_arm2_grip2,2,2,230,167,0.7060000000000001,0.611,0.795,0.7260869565217392,0.38163347126157754,-0.028000000000000014,-0.07800000000000001,0.019999999999999983,True,0.86,0.7,0.8,0.8,0.65,0.7,0.6,0.6,0.4,0.95
early,group,phase_early_group_arm2_grip4,2,4,230,165,0.6990000000000001,0.6,0.792,0.717391304347826,0.41662266211865784,-0.03500000000000001,-0.09500000000000001,0.019999999999999983,True,0.84,0.7,0.75,0.8,0.8,0.6,0.6,0.55,0.4,0.95
early,group,phase_early_group_arm2_grip8,2,8,230,172,0.7250000000000001,0.6249999999999999,0.82,0.7478260869565218,0.4177150404747875,-0.009000000000000008,-0.05500000000000003,0.039999999999999994,True,0.9,0.75,0.75,0.85,0.8,0.7,0.55,0.6,0.4,0.95
early,group,phase_early_group_arm2_grip16,2,16,230,165,0.6990000000000001,0.583,0.8,0.717391304347826,0.4166358567331584,-0.034999999999999996,-0.075,0.0050000000000000044,True,0.84,0.7,0.8,0.8,0.8,0.8,0.5,0.5,0.35,0.9
early,group,phase_early_group_arm4_grip1,4,1,230,155,0.6519999999999999,0.5399999999999999,0.775,0.6739130434782609,0.654365883510597,-0.082,-0.15200000000000005,-0.014000000000000012,False,0.82,0.5,0.75,0.9,0.6,0.55,0.5,0.5,0.4,1.0
early,group,phase_early_group_arm4_grip2,4,2,230,162,0.681,0.5700000000000001,0.792,0.7043478260869566,0.41056283858483206,-0.053000000000000005,-0.1,-0.003000000000000014,False,0.86,0.5,0.75,0.9,0.75,0.65,0.5,0.55,0.4,0.95
early,group,phase_early_group_arm4_grip4,4,4,230,166,0.6980000000000001,0.588,0.808,0.7217391304347827,0.25156707684075297,-0.036,-0.086,0.009000000000000008,True,0.88,0.6,0.75,0.8,0.85,0.65,0.55,0.5,0.4,1.0
early,group,phase_early_group_arm4_grip8,4,8,230,173,0.7300000000000001,0.625,0.8300000000000001,0.7521739130434782,0.25163357656180696,-0.0040000000000000036,-0.03899999999999999,0.030999999999999993,True,0.9,0.7,0.75,0.85,0.8,0.75,0.55,0.6,0.4,1.0
early,group,phase_early_group_arm4_grip16,4,16,230,175,0.734,0.614,0.844,0.7608695652173914,0.25169058192673033,0.0,0.0,0.0,True,0.94,0.6,0.8,0.8,0.8,0.85,0.55,0.65,0.35,1.0
early,group,phase_early_group_arm8_grip1,8,1,230,148,0.617,0.522,0.713,0.6434782608695652,0.6397111085509702,-0.11699999999999999,-0.16099999999999998,-0.05900000000000001,False,0.82,0.4,0.75,0.65,0.65,0.65,0.45,0.5,0.45,0.85
early,group,phase_early_group_arm8_grip2,8,2,230,157,0.659,0.553975,0.7590000000000001,0.6826086956521739,0.407843415880295,-0.07499999999999998,-0.12000000000000002,-0.024999999999999988,False,0.84,0.4,0.75,0.65,0.8,0.75,0.45,0.6,0.45,0.9
early,group,phase_early_group_arm8_grip4,8,4,230,163,0.683,0.58,0.781,0.7086956521739131,0.2512663239384563,-0.051000000000000004,-0.096,-0.0009999999999999786,False,0.88,0.45,0.75,0.8,0.75,0.75,0.6,0.5,0.45,0.9
early,group,phase_early_group_arm8_grip8,8,8,230,161,0.67,0.54,0.795,0.7,0.1838338904865596,-0.06400000000000002,-0.09,-0.04000000000000002,False,0.9,0.5,0.75,0.8,0.75,0.8,0.45,0.5,0.3,0.95
early,group,phase_early_group_arm8_grip16,8,16,230,168,0.7020000000000001,0.58,0.8089999999999999,0.7304347826086957,0.18300835516086905,-0.032000000000000015,-0.07200000000000004,0.010999999999999992,True,0.92,0.7,0.7,0.8,0.75,0.8,0.6,0.5,0.3,0.95
early,group,phase_early_group_arm16_grip1,16,1,230,128,0.55,0.43500000000000005,0.6799999999999999,0.5565217391304348,0.6277855096185949,-0.18400000000000002,-0.288,-0.08000000000000002,False,0.6,0.4,0.6,0.85,0.35,0.5,0.5,0.35,0.4,0.95
early,group,phase_early_group_arm16_grip2,16,2,230,150,0.651,0.54,0.7709999999999999,0.6521739130434783,0.4071152459516174,-0.083,-0.158,-3.3306690738754695e-17,False,0.66,0.45,0.7,0.95,0.6,0.8,0.5,0.45,0.45,0.95
early,group,phase_early_group_arm16_grip4,16,4,230,160,0.6740000000000002,0.5599999999999999,0.784,0.6956521739130435,0.25166172711680895,-0.06000000000000001,-0.11499999999999999,-0.005000000000000021,False,0.84,0.45,0.65,0.85,0.75,0.85,0.6,0.45,0.4,0.9
early,group,phase_early_group_arm16_grip8,16,8,230,159,0.672,0.535,0.799,0.691304347826087,0.18361917705362885,-0.062,-0.10900000000000003,-0.01499999999999998,False,0.82,0.4,0.7,0.85,0.8,0.9,0.55,0.55,0.25,0.9
early,group,phase_early_group_arm16_grip16,16,16,230,160,0.677,0.547,0.796,0.6956521739130435,0.14948690900980188,-0.05700000000000001,-0.10399999999999998,-0.007000000000000011,False,0.82,0.45,0.7,0.9,0.8,0.85,0.55,0.5,0.3,0.9
middle,global,phase_middle_global_h1,1,1,230,163,0.689,0.56,0.8059999999999998,0.7086956521739131,0.35129012660793635,-0.009999999999999998,-0.03,0.010000000000000009,True,0.84,0.45,0.7,0.9,0.8,0.9,0.65,0.5,0.3,0.85
