task_id,confirmatory_scope,method,episodes,successes,success_rate,mean_steps,mean_policy_queries,h1_gripper_task_difference,h1_arm_task_difference,h2_age_task_difference,h2_cog_task_difference
2,primary_tasks1_to_9,D_AGE_EXP_B003,14,5,0.35714285714285715,220.57142857142858,220.57142857142858,0.21428571428571427,0.2857142857142857,0.5,0.42857142857142855
2,primary_tasks1_to_9,E_COGACT_A03,14,6,0.42857142857142855,209.14285714285714,209.14285714285714,0.21428571428571427,0.2857142857142857,0.5,0.42857142857142855
3,primary_tasks1_to_9,A_NEWEST,14,4,0.2857142857142857,241.21428571428572,241.21428571428572,0.21428571428571427,-0.21428571428571427,-0.14285714285714285,0.0
3,primary_tasks1_to_9,B_FULL_OLD20,14,10,0.7142857142857143,165.57142857142858,165.57142857142858,0.21428571428571427,-0.21428571428571427,-0.14285714285714285,0.0
3,primary_tasks1_to_9,C_ASYMMETRIC_FO20,14,7,0.5,221.78571428571428,221.78571428571428,0.21428571428571427,-0.21428571428571427,-0.14285714285714285,0.0
3,primary_tasks1_to_9,D_AGE_EXP_B003,14,9,0.6428571428571429,179.21428571428572,179.21428571428572,0.21428571428571427,-0.21428571428571427,-0.14285714285714285,0.0
3,primary_tasks1_to_9,E_COGACT_A03,14,7,0.5,202.85714285714286,202.85714285714286,0.21428571428571427,-0.21428571428571427,-0.14285714285714285,0.0
4,primary_tasks1_to_9,A_NEWEST,14,5,0.35714285714285715,237.28571428571428,237.28571428571428,0.5,0.14285714285714285,0.14285714285714285,0.07142857142857142
4,primary_tasks1_to_9,B_FULL_OLD20,14,10,0.7142857142857143,186.57142857142858,186.57142857142858,0.5,0.14285714285714285,0.14285714285714285,0.07142857142857142
4,primary_tasks1_to_9,C_ASYMMETRIC_FO20,14,12,0.8571428571428571,161.0,161.0,0.5,0.14285714285714285,0.14285714285714285,0.07142857142857142
4,primary_tasks1_to_9,D_AGE_EXP_B003,14,10,0.7142857142857143,179.5,179.5,0.5,0.14285714285714285,0.14285714285714285,0.07142857142857142
4,primary_tasks1_to_9,E_COGACT_A03,14,11,0.7857142857142857,169.5,169.5,0.5,0.14285714285714285,0.14285714285714285,0.07142857142857142
5,primary_tasks1_to_9,A_NEWEST,14,3,0.21428571428571427,249.0,249.0,0.2857142857142857,0.0,-0.07142857142857142,-0.07142857142857142
5,primary_tasks1_to_9,B_FULL_OLD20,14,7,0.5,203.35714285714286,203.35714285714286,0.2857142857142857,0.0,-0.07142857142857142,-0.07142857142857142
5,primary_tasks1_to_9,C_ASYMMETRIC_FO20,14,7,0.5,205.92857142857142,205.92857142857142,0.2857142857142857,0.0,-0.07142857142857142,-0.07142857142857142
