task,episode,timestep,state_id,phase,object_goal_distance,eef_object_distance,action_magnitude,action_velocity,action_acceleration,gripper_transition,p_fail_0,p_fail_1,p_fail_2,fragility_score,first_nonzero_scale_m,robustness_margin_50pct_m
PickCube-v1,7,0,e23ba4ce2ec95a2056a60b15b64f6ac8fb68bfcad9729ad80cb5677021a24e0e,0.0,0.1902015656232834,0.17810292541980743,3.358560800552368,3.358560800552368,3.358560800552368,1.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,7,5,b8d1efd9a53a6b178646dc9ad89e72a0bb2f6ca65e7e1fdb11b75cd41f66f049,0.14705882352941177,0.1902017593383789,0.0723194032907486,3.358560800552368,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,7,10,2396efd285dc80492c5f79ae1986329c48394a206db4c6989514b29e322b2dba,0.29411764705882354,0.1902018040418625,0.031556665897369385,3.3574142456054688,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,7,15,d330b6e543012dabb925147d6dd71e67a4bd40ce25f9f3f7bf8645c4eb97b529,0.4411764705882353,0.19020181894302368,0.001647590077482164,3.3574142456054688,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,7,20,58634c2ca1f18912dc01750339303db9da1f9cc6073ad2b193e0a7e582ab533a,0.5882352941176471,0.18992558121681213,0.0007037403993308544,3.3574142456054688,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,7,25,95bcbdabd457121fe3aa790821b80e76723fb516757463eb1072b52b13ca4515,0.7352941176470589,0.16105866432189941,0.0006931724492460489,3.3633065223693848,0.0,0.18000003695487976,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,7,30,28bc5d491beed239c3e98662fb5ae16b4d8194c77be4512d40672481429ba36f,0.8823529411764706,0.029375579208135605,0.0007132907048799098,3.3633065223693848,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,8,0,97abf2c1a9ef373b7dd28529aa7b6400cb1e49bbfab061fc555ed60606410ec1,0.0,0.014820819720625877,0.16327382624149323,3.3604602813720703,3.3604602813720703,3.3604602813720703,1.0,0.0,0.0,0.0,0.0,nan,nan
PickCube-v1,9,0,bd9831a5be9b036cdcf8dfc06663d9f3ef91a7f9547f5e7a45088f9dcaa6371e,0.0,0.2913956940174103,0.15785764157772064,3.4003639221191406,3.4003639221191406,3.4003639221191406,1.0,0.16666666666666666,0.3333333333333333,0.5,0.3833333333333333,0.0015,0.006
PickCube-v1,9,5,1d0325f82ee0a88f687194c98c1fcc28407398092258b4abe170b68505b89dfd,0.13513513513513514,0.2913956344127655,0.07200819998979568,3.4003639221191406,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.4666666666666667,0.0015,0.006
PickCube-v1,9,10,2d48e5fc8a438ea0bd88adee6f1d7af273a3451ca959b3b6f0f525e8c1bbd0a6,0.2702702702702703,0.2913955748081207,0.032056376338005066,3.3992316722869873,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.3833333333333333,0.0015,0.006
PickCube-v1,9,15,ae9d6fd422ab7bab8e11e1078ea2749ef3a259e4302b89434db40264cba83fb8,0.40540540540540543,0.2913955748081207,0.0017924541607499123,3.3992316722869873,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.4666666666666667,0.0015,0.006
PickCube-v1,9,20,5682f8f450ec5577041f29e4c81701689de0cf03c3f455eb6c2b4efc55a617ab,0.5405405405405406,0.291113942861557,0.0009246318368241191,3.3992316722869873,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.4333333333333333,0.003,0.006
PickCube-v1,9,25,e9b2fb43a879c9a15cff92473361d0605faa8cd0dfb0cf0bdc589192a400c3b4,0.6756756756756757,0.26839324831962585,0.002699651988223195,3.4050514698028564,0.0,0.18000003695487976,0.0,0.0,0.3333333333333333,0.5,0.35,0.003,0.006
PickCube-v1,9,30,2bdd44c0b8908b6a0a8d55feaf40b599a5ac6347137c8eb59969c2ea325378b3,0.8108108108108109,0.11589723080396652,0.0027082390151917934,3.4050514698028564,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.35,0.003,0.006
PickCube-v1,9,35,a595979bc20ed605ead2ddd3c262e889f47ddae1cefd1020b8d8f3d5eee52cb3,0.9459459459459459,0.02574257366359234,0.0027088194619864225,3.4238765239715576,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.35,0.003,0.006
StackCube-v1,0,0,998b750f55a5c7258756dc0e66adb129c7944b3c5163907717f26ce7cf103eca,0.0,0.2093940353571869,0.22952860593795776,3.583110809326172,3.583110809326172,3.583110809326172,1.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,0,5,95038e247cc67ae64af60476fc36485062b3000177fa2dc42506fd912317916d,0.09090909090909091,0.2093932851087279,0.06875243037939072,3.583110809326172,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,0,10,f266654bdba1ed93e393f8c2ddc60280bef5c464158e03e1360d38bfa76bf2fb,0.18181818181818182,0.20939328390645776,0.030789287760853767,3.582036256790161,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,0,15,ffd749cffb56a242e5da5178d688fc13e8d31408bf1c70e73488065d66e9c036,0.2727272727272727,0.20939328108902022,0.0013598620425909758,3.582036256790161,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,0,20,d35c7c9d7ae66a34287565df7587a0be8beb2ecd1d99d19abf1a823a211c3cbb,0.36363636363636365,0.20991432635108628,0.00048340472858399153,3.582036256790161,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,0,25,d578fff36fe8cb66b2728efcb0b3c7bf2856c9305fc49164f7a1348ee47fe59c,0.45454545454545453,0.210381615037215,0.0005005647544749081,3.5855519771575928,0.0,0.14000003039836884,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,0,30,9422ac723351a1d2b096eecb3cd32ce4816af12ee7142610604bd5887d93ee91,0.5454545454545454,0.22782037116046083,0.00048348045675083995,3.5855519771575928,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,0,35,1f32fff1bc224bde9dcaa58afaa40829e0cc074769e6140620fc11b1deae16aa,0.6363636363636364,0.10252446416314247,0.00046476791612803936,3.591858148574829,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,0,40,e38610b6fa0650bb8422ddb3a223963d1621c4a0fe72715be3cdf256ceef3b1a,0.7272727272727273,0.07901623960917481,0.0004844253708142787,3.589630365371704,0.08000001311302185,0.08000001311302185,0.0,0.0,0.3333333333333333,0.0,0.09999999999999999,0.003,nan
StackCube-v1,0,45,509be87cef49da149fecd68692b784a76af9186b2b8fbb0fa1e3c899680fae4c,0.8181818181818182,0.003608520221905983,0.00048443011473864317,3.589630365371704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
StackCube-v1,0,50,5c8abc54bb233a3cc6ae16999db09ec882b30ad5f971d3e45e3b20b96f21a8ab,0.9090909090909091,0.0007900536643889532,0.0005485729197971523,3.589630365371704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
StackCube-v1,0,55,d0d4ad46c8672e28745623cb77ae4a4815dc4b65ee4160e72bfadf5aef6ed392,1.0,0.000795515937841467,0.0007431360427290201,3.589630365371704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
