family,contrast,first,second,group,metric,paired_block_count,task_count,mean_paired_difference,median_paired_difference,task_cluster_ci_low,task_cluster_ci_high
track_a,ARM2_GRIP16-H2,ARM2_GRIP16,H2,translation,d2_median,450,30,-0.0010595111412899576,0.0,-0.0021704875119792906,-0.00014410307824648053
track_a,ARM2_GRIP16-H2,ARM2_GRIP16,H2,rotation,d1_mean,450,30,0.00012425296631283486,0.0,3.239008065288163e-05,0.00022439598305641672
track_a,ARM2_GRIP16-H2,ARM2_GRIP16,H2,rotation,d1_median,450,30,5.247057272918585e-06,0.0,-6.367432749158063e-05,6.553368343583117e-05
track_a,ARM2_GRIP16-H2,ARM2_GRIP16,H2,rotation,d2_mean,450,30,-9.218869073898534e-05,0.0,-0.00024682592612531174,4.728402835145361e-05
track_a,ARM2_GRIP16-H2,ARM2_GRIP16,H2,rotation,d2_median,450,30,-0.0002527616615851128,0.0,-0.00041704924724388467,-0.00010431846529487083
track_a,ARM2_GRIP16-H2,ARM2_GRIP16,H2,gripper,d1_mean,450,30,-0.00046224165869630665,-0.000359018580872708,-0.007288829699761851,0.006981228136794287
track_a,ARM2_GRIP16-H2,ARM2_GRIP16,H2,gripper,d1_median,450,30,-0.003531452351146274,-0.0005836784839630127,-0.006031318058570225,-0.0018287336710426543
track_a,ARM2_GRIP16-H2,ARM2_GRIP16,H2,gripper,d2_mean,450,30,-0.013365043805456158,-0.0014289677471188377,-0.02398755064003885,-0.0025304771839637346
track_a,ARM2_GRIP16-H2,ARM2_GRIP16,H2,gripper,d2_median,450,30,-0.009473678713871373,-0.0022627413272857666,-0.014654246350232925,-0.0057311682324442705
track_a,ARM2_GRIP16-H2,ARM2_GRIP16,H2,gripper,gripper_state_switch_probability,450,30,-0.0008290386099174244,0.0,-0.0049328579444336655,0.0034306036568433995
