cell_id,policy,suite,task_id,state_id,eligible_targets,metric,value
act-libero_spatial-task00-state14,ACT,libero_spatial,0,14,67,dim_0,0.2272555277185901
act-libero_spatial-task00-state14,ACT,libero_spatial,0,14,67,dim_1,0.05137937727815216
act-libero_spatial-task00-state14,ACT,libero_spatial,0,14,67,dim_2,0.13652749818417015
act-libero_spatial-task00-state14,ACT,libero_spatial,0,14,67,dim_3,0.1602168671610301
act-libero_spatial-task00-state14,ACT,libero_spatial,0,14,67,dim_4,0.14760183915251432
act-libero_spatial-task00-state14,ACT,libero_spatial,0,14,67,dim_5,0.12552524504905566
act-libero_spatial-task00-state14,ACT,libero_spatial,0,14,67,dim_6,0.02641041185685992
act-libero_spatial-task00-state14,ACT,libero_spatial,0,14,67,translation,0.17259970777110245
act-libero_spatial-task00-state14,ACT,libero_spatial,0,14,67,rotation,0.16167977159789237
act-libero_spatial-task00-state14,ACT,libero_spatial,0,14,67,gripper,0.02641041185685992
act-libero_spatial-task00-state14,ACT,libero_spatial,0,14,67,arm_original,0.17010572254746253
act-libero_spatial-task00-state15,ACT,libero_spatial,0,15,62,dim_0,0.20852175823723867
act-libero_spatial-task00-state15,ACT,libero_spatial,0,15,62,dim_1,0.06868710023470757
act-libero_spatial-task00-state15,ACT,libero_spatial,0,15,62,dim_2,0.1479268326558591
act-libero_spatial-task00-state15,ACT,libero_spatial,0,15,62,dim_3,0.18280852554645852
act-libero_spatial-task00-state15,ACT,libero_spatial,0,15,62,dim_4,0.1349929723652189
act-libero_spatial-task00-state15,ACT,libero_spatial,0,15,62,dim_5,0.11023792187620089
act-libero_spatial-task00-state15,ACT,libero_spatial,0,15,62,dim_6,0.02557662416815801
act-libero_spatial-task00-state15,ACT,libero_spatial,0,15,62,translation,0.17429817162796823
act-libero_spatial-task00-state15,ACT,libero_spatial,0,15,62,rotation,0.15781682635681551
act-libero_spatial-task00-state15,ACT,libero_spatial,0,15,62,gripper,0.02557662416815801
act-libero_spatial-task00-state15,ACT,libero_spatial,0,15,62,arm_original,0.1688446304754556
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,dim_0,0.6227095936137877
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,dim_1,0.1542075026507105
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,dim_2,0.782951706220969
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,dim_3,0.46154942363420554
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,dim_4,0.5673457860895234
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,dim_5,0.35247786670538667
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,dim_6,0.24634605071144378
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,translation,0.6015241539439482
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,rotation,0.48882911649049077
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,gripper,0.24634605071144378
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,arm_original,0.5525895857592811
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,dim_0,0.1255020890869883
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,dim_1,0.044348379272023696
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,dim_2,0.07680352157579913
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,dim_3,0.12929430383441828
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,dim_4,0.10329902677744698
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,dim_5,0.06787825658724726
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,dim_6,0.01895037244432771
