cell_id,policy,suite,task_id,state_id,eligible_targets,source_age,metric,value,units
act-libero_object-task03-state12,ACT,libero_object,3,12,149,15,translation,0.11518646859611033,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,15,rotation,0.021018189355646175,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,15,gripper,0.17511412694996295,controller_native_action
act-libero_object-task03-state12,ACT,libero_object,3,12,149,15,arm_original,0.08279398176024785,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,0,translation,0.0,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,0,rotation,0.0,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,0,gripper,0.0,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,0,arm_original,0.0,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,1,translation,0.052752048822105865,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,1,rotation,0.006525522607774715,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,1,gripper,0.2496627024805641,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,1,arm_original,0.037585642872208655,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,2,translation,0.09246334883347812,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,2,rotation,0.010978376401765206,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,2,gripper,0.4602869510941384,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,2,arm_original,0.06584070027695747,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,3,translation,0.1255865034623752,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,3,rotation,0.015373714978902213,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,3,gripper,0.5895708041707173,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,3,arm_original,0.0894659738787817,controller_native_action
