condition,model,group,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,51,232,108,124,0.46551724137931033,0.7314814814814815,0.6795526238124245,0.21710045182385201,0.08644254332409605,False,,0.2519718401668731,0.13839399005828124
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,52,229,106,123,0.462882096069869,0.7366160454057371,0.6822720942698061,0.2145321431590592,0.08841251733828578,False,,0.2505661906732054,0.1438104934162594
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,53,224,104,120,0.4642857142857143,0.7326923076923076,0.6776124566240327,0.2154063020993817,0.09156608168588794,False,,0.24966444408645325,0.13721674350717206
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,54,219,100,119,0.45662100456621,0.7301680672268908,0.6722061993709241,0.2170191435196401,0.10965713898764098,False,,0.24895527193982547,0.12828058699598288
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,55,219,99,120,0.4520547945205479,0.7321548821548821,0.671689086603159,0.21617388007204447,0.1137550023137392,False,,0.24830932196979622,0.12941697735238722
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,56,217,95,122,0.4377880184331797,0.7235547886108714,0.6547802264685798,0.22040323527656697,0.1137710740790117,False,,0.2467231406746477,0.10667789541796013
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,57,216,93,123,0.4305555555555556,0.7248885392079727,0.6472570869133297,0.2176130670936658,0.10219140017657057,False,,0.24567182629589382,0.11421236055140205
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,58,211,91,120,0.4312796208530806,0.7152014652014652,0.636469142614348,0.22167745178805315,0.11082079483231949,False,,0.2453854941634914,0.0966155006686844
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,59,209,88,121,0.42105263157894735,0.722389181066867,0.6357056590814657,0.21788887848083038,0.10137983413426818,False,,0.24393184879245497,0.10676330475313534
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,60,208,86,122,0.41346153846153844,0.73131910026687,0.6363253847237967,0.21287719280668377,0.10309570345325786,False,,0.24272303930132316,0.12296256086999602
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,61,206,84,122,0.4077669902912621,0.7338992974238876,0.6353807345445626,0.2111613309590574,0.10126971183738472,False,,0.24161278287695348,0.1260341094345333
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,62,205,83,122,0.40487804878048783,0.7332609125024689,0.6350157715914218,0.21096754651141314,0.10653371982023083,False,,0.2409881385710734,0.12457290320455516
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,63,201,78,123,0.3880597014925373,0.7270168855534709,0.6166738545645729,0.21207713274856607,0.13856815688109148,False,,0.23770773753538663,0.1078240239571715
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,64,198,77,121,0.3888888888888889,0.7292046796179028,0.6167569031581802,0.21029068488191308,0.11226384889356492,False,,0.23767072031013167,0.1152015502477165
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,65,197,77,120,0.39086294416243655,0.7373376623376623,0.6359317493224537,0.20573012006673083,0.1118548359783854,False,,0.23813094094436135,0.13606304476494246
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,66,195,74,121,0.37948717948717947,0.7432432432432432,0.6315980807846953,0.2012358945168696,0.10447076896480566,False,,0.2354781453970776,0.14541583390877577
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,67,193,72,121,0.37305699481865284,0.7494260789715336,0.6348123863149515,0.19759376998728118,0.11329050619361102,False,,0.23388584674877022,0.1551700424201914
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,68,191,71,120,0.3717277486910995,0.7463615023474178,0.6276186670678343,0.19874883678196187,0.1161243141086199,False,,0.23357386728020435,0.14909643319158228
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,69,191,70,121,0.36649214659685864,0.7447461629279811,0.6295576570390474,0.19747185974738196,0.126138500241499,False,,0.2322127297825423,0.14960794814174794
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,70,188,68,120,0.3617021276595745,0.7502450980392157,0.6238555113355255,0.19507607039242023,0.11326930489606415,False,,0.2308977106460057,0.1551407337619921
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,71,188,68,120,0.3617021276595745,0.7495098039215686,0.6217281456182109,0.19544072117807898,0.10677418111092868,False,,0.23097949231386855,0.1538611535585912
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,72,187,68,119,0.36363636363636365,0.7524715768660405,0.6275609461078443,0.1950919413096625,0.1051710181718301,False,,0.23167965539804136,0.15792372457356552
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,73,186,67,119,0.3602150537634409,0.7570550608303023,0.6290577349368238,0.1921037865204539,0.10303335900173018,False,,0.23076634165305482,0.1675398364234939
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,74,184,66,118,0.358695652173913,0.7588597842835131,0.6288296588284799,0.19182794483830226,0.094441774431083,False,,0.23040087800283238,0.1674166066505004
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,75,181,66,115,0.36464088397790057,0.7581027667984189,0.6301744851881247,0.19414573135640067,0.09134888677622073,False,,0.2324473685299053,0.16477552495319803
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,76,177,65,112,0.3672316384180791,0.757554945054945,0.6318443550903515,0.1962039659393878,0.10083573580205725,False,,0.23336877557517713,0.15925356571028115
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,77,175,64,111,0.3657142857142857,0.7539414414414415,0.625094312753868,0.1984524145263583,0.09727510711362854,False,,0.23315957935411383,0.14885583909483557
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,78,172,63,109,0.36627906976744184,0.7543323139653415,0.6257147198186669,0.1992398591177492,0.08887510238524744,False,,0.2337615027817385,0.14767890885875212
