condition,model,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
A_chunk_only,monotone_conditional_survival_shared_mlp,57,432,122,310,0.2824074074074074,0.856795346377578,0.662708388819678,0.14101735328174644,0.07085923436783277,False,,0.18096936990339085,0.22076673330394248
A_chunk_only,monotone_conditional_survival_shared_mlp,58,422,120,302,0.2843601895734597,0.8561810154525387,0.663183435884039,0.14113205040860277,0.07118355322375791,False,,0.18197087121015995,0.22442504412913444
A_chunk_only,monotone_conditional_survival_shared_mlp,59,418,116,302,0.27751196172248804,0.8579298926695592,0.6599816563377761,0.13844736253994572,0.05594978238440337,False,,0.17998996456881292,0.2308051014310013
A_chunk_only,monotone_conditional_survival_shared_mlp,60,416,114,302,0.27403846153846156,0.8588358313001045,0.6595485225985166,0.13778166919879767,0.05448605959588036,False,,0.17966380887447,0.2331139473110866
A_chunk_only,monotone_conditional_survival_shared_mlp,61,412,112,300,0.27184466019417475,0.860625,0.6602612660949464,0.13605249951205198,0.0630238511963477,False,,0.17966152881860323,0.24272881118907474
A_chunk_only,monotone_conditional_survival_shared_mlp,62,410,111,299,0.2707317073170732,0.8609177739612522,0.659842434920185,0.13496233369045482,0.05604154165892714,False,,0.17966355432289627,0.2488051669739495
A_chunk_only,monotone_conditional_survival_shared_mlp,63,402,105,297,0.26119402985074625,0.8592592592592593,0.6482304062170468,0.13417833506429766,0.049424981583351034,False,,0.17725115273902337,0.24300444318206604
A_chunk_only,monotone_conditional_survival_shared_mlp,64,396,103,293,0.2601010101010101,0.8628516518108619,0.6535675491363362,0.13126243543993035,0.0444569999452817,False,,0.17617840018535197,0.25494592241822434
A_chunk_only,monotone_conditional_survival_shared_mlp,65,394,100,294,0.25380710659898476,0.8658163265306122,0.6525206011443316,0.12886840758046167,0.04963078240491275,False,,0.17076887607736727,0.2453636134369268
A_chunk_only,monotone_conditional_survival_shared_mlp,66,390,97,293,0.24871794871794872,0.864079377924774,0.6477470985585853,0.12862477170198797,0.044709403760693114,False,,0.16997613984005217,0.24327748692831774
A_chunk_only,monotone_conditional_survival_shared_mlp,67,386,93,293,0.24093264248704663,0.8620499834856326,0.6256110237494603,0.12798079007754126,0.049741060015131455,False,,0.16559532654077044,0.22714733108103924
A_chunk_only,monotone_conditional_survival_shared_mlp,68,382,91,291,0.23821989528795812,0.8650353083342774,0.6321076564986032,0.12556047888891908,0.042435479673499525,False,,0.16386077193427417,0.23373680346579617
A_chunk_only,monotone_conditional_survival_shared_mlp,69,382,89,293,0.23298429319371727,0.8652452352647927,0.625140393325843,0.12444678253911734,0.039513140193732796,False,,0.16105299638841253,0.2272929698309477
A_chunk_only,monotone_conditional_survival_shared_mlp,70,376,87,289,0.23138297872340424,0.8658871256413316,0.6249947781448565,0.12349434625339681,0.04462609939446782,False,,0.16114990400984466,0.23366788821759066
A_chunk_only,monotone_conditional_survival_shared_mlp,71,376,84,292,0.22340425531914893,0.8669683626875407,0.6202110665615945,0.12059292744297596,0.03356647768556298,False,,0.15451909842178335,0.21955972643718613
A_chunk_only,monotone_conditional_survival_shared_mlp,72,374,82,292,0.2192513368983957,0.8664801202806549,0.6172087832468034,0.11928446796310735,0.0356041325216453,False,,0.15050962393162967,0.20746285289176347
A_chunk_only,monotone_conditional_survival_shared_mlp,73,372,80,292,0.21505376344086022,0.8653253424657534,0.6107817395151323,0.11929673816885844,0.040236425166300084,False,,0.14791043755591995,0.19345287499567865
A_chunk_only,monotone_conditional_survival_shared_mlp,74,368,77,291,0.20923913043478262,0.8595974472263133,0.5881448522664608,0.12065436415188652,0.04577045321216537,False,,0.1433226390279652,0.15816255568428117
A_chunk_only,monotone_conditional_survival_shared_mlp,75,362,76,286,0.20994475138121546,0.8654766286345233,0.6066897432783523,0.1176329141915088,0.04253447156370313,False,,0.14232455441956876,0.1734882665100057
A_chunk_only,monotone_conditional_survival_shared_mlp,76,354,75,279,0.211864406779661,0.8687216248506571,0.6167198321810793,0.11736486834820703,0.05602229779453402,False,,0.14336973022134722,0.18138320992158885
A_chunk_only,monotone_conditional_survival_shared_mlp,77,350,73,277,0.20857142857142857,0.8732505810790762,0.6266850436227788,0.11478331584646893,0.046524789589241715,False,,0.14102355932010385,0.18606992760743768
A_chunk_only,monotone_conditional_survival_shared_mlp,78,344,70,274,0.20348837209302326,0.8754953076120959,0.6307239018174451,0.11222932142537927,0.05050717855773333,False,,0.13642089043079694,0.17733038487745012
A_chunk_only,monotone_conditional_survival_shared_mlp,79,340,68,272,0.2,0.8814878892733564,0.6405898833091952,0.1080900891099136,0.045121831953334426,False,,0.13190260481912222,0.18053104972310952
A_chunk_only,monotone_conditional_survival_shared_mlp,80,334,66,268,0.19760479041916168,0.8758480325644504,0.6124266838144475,0.11005600129317253,0.050794821468934784,False,,0.12950104609334906,0.1501535731700564
A_chunk_only,monotone_conditional_survival_shared_mlp,81,332,62,270,0.18674698795180722,0.8780167264038232,0.6185741749427225,0.10513588580262562,0.04975426229315758,False,,0.12031205049562146,0.1261400219718486
